Week,LUSH: (United States),FRESH: (United States),CLINIQUE: (United States),SIMPLE: (United States),GLOSSIER: (United States)
2021-01-03,4,45,9,54,3
2021-01-10,6,53,6,48,0
2021-01-17,6,57,6,56,3
2021-01-24,0,56,11,44,0
2021-01-31,9,60,7,41,5
2021-02-07,6,53,5,55,1
2021-02-14,11,54,7,48,0
2021-02-21,7,59,7,45,2
2021-02-28,5,61,10,50,3
2021-03-07,6,48,6,43,1
2021-03-14,4,52,8,47,2
2021-03-21,6,53,8,46,1
2021-03-28,5,54,3,45,1
2021-04-04,3,56,8,44,2
2021-04-11,5,53,4,51,0
2021-04-18,2,56,8,58,1
2021-04-25,3,54,6,44,0
2021-05-02,3,53,7,59,1
2021-05-09,3,49,7,57,1
2021-05-16,3,57,9,62,0
2021-05-23,6,52,11,58,2
2021-05-30,0,51,10,58,0
2021-06-06,2,56,10,56,0
2021-06-13,5,54,7,51,1
2021-06-20,7,54,7,61,0
2021-06-27,2,52,8,54,0
2021-07-04,6,52,5,59,2
2021-07-11,4,61,5,53,2
2021-07-18,6,57,4,64,0
2021-07-25,7,48,7,57,0
2021-08-01,5,57,8,60,0
2021-08-08,5,55,9,57,0
2021-08-15,5,60,12,55,1
2021-08-22,1,56,10,57,0
2021-08-29,4,52,4,51,2
2021-09-05,6,39,9,55,0
2021-09-12,10,47,8,58,0
2021-09-19,4,52,13,50,0
2021-09-26,8,62,11,53,0
2021-10-03,4,60,10,57,0
2021-10-10,5,47,14,56,3
2021-10-17,7,49,7,52,3
2021-10-24,5,46,9,57,2
2021-10-31,4,54,8,60,3
2021-11-07,4,57,8,44,1
2021-11-14,9,65,10,46,6
2021-11-21,9,55,9,50,4
2021-11-28,7,51,8,50,3
2021-12-05,6,51,11,46,3
2021-12-12,7,53,11,35,4
2021-12-19,7,60,9,45,2
2021-12-26,6,54,11,46,0
2022-01-02,9,47,11,45,3
2022-01-09,4,59,13,45,2
2022-01-16,5,61,9,53,3
2022-01-23,8,67,13,58,0
2022-01-30,3,55,4,55,0
2022-02-06,7,62,7,53,0
2022-02-13,5,64,9,57,2
2022-02-20,6,59,7,54,1
2022-02-27,5,53,8,58,2
2022-03-06,5,49,13,60,0
2022-03-13,11,63,10,58,0
2022-03-20,4,56,7,52,4
2022-03-27,4,62,9,56,0
2022-04-03,5,65,7,56,2
2022-04-10,5,73,6,54,0
2022-04-17,3,64,6,55,0
2022-04-24,5,66,9,54,2
2022-05-01,7,70,11,59,0
2022-05-08,3,69,5,52,0
2022-05-15,5,57,7,38,2
2022-05-22,5,69,9,53,2
2022-05-29,4,55,7,56,0
2022-06-05,5,67,9,48,3
2022-06-12,3,59,9,45,0
2022-06-19,1,52,9,48,0
2022-06-26,5,59,9,44,3
2022-07-03,6,58,6,49,4
2022-07-10,6,69,10,51,1
2022-07-17,7,62,6,54,0
2022-07-24,5,74,8,51,4
2022-07-31,6,70,9,47,4
2022-08-07,0,65,10,58,1
2022-08-14,10,64,5,53,3
2022-08-21,2,74,8,56,2
2022-08-28,5,62,9,49,3
2022-09-04,5,66,10,55,2
2022-09-11,7,68,7,68,5
2022-09-18,6,69,13,57,1
2022-09-25,1,68,10,66,0
2022-10-02,5,65,9,61,1
2022-10-09,7,63,11,67,4
2022-10-16,6,61,11,56,4
2022-10-23,0,68,13,63,5
2022-10-30,11,67,8,54,5
2022-11-06,4,70,11,53,5
2022-11-13,8,71,10,60,5
2022-11-20,4,68,10,51,7
2022-11-27,6,59,11,54,3
2022-12-04,3,66,7,45,7
2022-12-11,5,69,10,61,2
2022-12-18,4,68,12,60,8
2022-12-25,8,70,13,44,9
2023-01-01,6,63,13,74,2
2023-01-08,4,71,6,68,3
2023-01-15,2,70,12,57,2
2023-01-22,4,60,12,65,4
2023-01-29,4,69,10,59,4
2023-02-05,6,71,15,56,4
2023-02-12,9,66,13,68,2
2023-02-19,5,79,14,57,0
2023-02-26,3,67,9,54,5
2023-03-05,3,72,12,59,3
2023-03-12,2,77,18,60,4
2023-03-19,4,81,13,60,3
2023-03-26,8,80,13,59,4
2023-04-02,4,89,6,66,4
2023-04-09,2,77,9,62,6
2023-04-16,0,82,9,66,0
2023-04-23,5,82,14,70,5
2023-04-30,7,75,10,70,3
2023-05-07,5,82,7,63,3
2023-05-14,7,85,12,65,3
2023-05-21,10,81,12,62,6
2023-05-28,6,90,8,58,0
2023-06-04,8,87,11,70,0
2023-06-11,2,86,10,65,2
2023-06-18,7,79,11,55,5
2023-06-25,11,72,7,63,1
2023-07-02,5,70,10,59,5
2023-07-09,7,74,12,52,2
2023-07-16,3,72,8,71,7
2023-07-23,2,72,10,64,0
2023-07-30,6,76,9,66,5
2023-08-06,9,92,14,71,2
2023-08-13,2,83,10,65,7
2023-08-20,7,89,13,66,2
2023-08-27,7,78,13,62,3
2023-09-03,5,68,7,65,2
2023-09-10,10,74,10,59,6
2023-09-17,0,67,11,57,0
2023-09-24,3,74,15,69,6
2023-10-01,9,79,10,64,4
2023-10-08,4,73,12,66,3
2023-10-15,4,84,10,57,3
2023-10-22,6,66,9,54,5
2023-10-29,10,81,16,50,2
2023-11-05,7,81,17,56,8
2023-11-12,8,100,10,65,7
2023-11-19,9,87,17,63,6
2023-11-26,11,77,17,69,5
2023-12-03,6,51,5,54,4
