year,month,term,avg_sentiment
2022,10,heather,0.1197125178296119
2022,8,cheeklip,0.16424843349324708
2023,2,angry,0.12301278061100415
2022,1,frequency,0.14789100681753972
2023,3,cheeklip,0.2104440645004312
2023,1,macdonald,0.2591294529626057
2023,1,shrinkflation,0.10162109167625506
2023,1,frequency,0.07592427783200274
2023,2,cosplayor,0.25134087074548006
2023,1,cheeklip,0.18341821228109656
2022,1,unhooked,0.14533711200453003
2022,5,oneunusedis,0.05566704418096277
2021,7,oneunusedis,0.13402387735744317
2023,1,chart,0.2044474636869771
2023,1,dermatitisallergy,0.27054277000327903
2022,10,oneunusedis,0.08978064435456569
2022,3,frequency,0.10135371450866971
2022,11,settingspray,0.02879147813655436
2022,11,oneunusedis,0.15160183142870665
2022,2,unhooked,0.13566943680127272
2022,11,unhooked,0.1801325435834852
2023,3,frequency,0.07564709891254703
2021,12,unhooked,0.22434580160511863
2023,3,macdonald,0.26157123657564324
2022,5,frequency,0.04655640563842925
2021,9,oneunusedis,0.09665648261499074
2023,2,oneunusedis,0.08520337820347124
2023,2,unhooked,0.11993667547142615
2023,1,settingspray,0.1073568088002503
2022,6,unhooked,0.07697703799654153
2023,2,wrinklescrepy,0.028717452763683267
2022,9,frequency,0.014099236327008558
2022,1,coverfix,0.22814814746379852
2023,3,heather,0.15289933969163233
2022,5,chart,0.19260928247656142
2023,1,producst,0.16258929872613712
2022,4,seam,0.06215262556305298
2023,1,oneunusedis,0.17810907069703236
2022,12,unhooked,0.18917179704667667
2021,12,webcams,0.2473263144493103
2022,10,unhooked,0.16884907489446432
2023,3,unhooked,0.1400479026682054
2023,2,cicaplast,0.03701583635993302
2023,1,experts,0.08659193962812424
2022,3,oneunusedis,0.08318139323964716
2023,2,experts,0.16502724355086684
2022,1,webcams,0.2914133407175541
2022,5,unhooked,0.14188169541473433
2022,3,unhooked,0.13239513210109657
2022,4,angry,0.10709325619973242
2023,2,settingspray,0.12612795364111662
2022,1,cheeklip,0.20310684852302074
2021,3,oneunusedis,0.11593602430075407
2023,3,dermatitisallergy,0.23342595077477968
2022,8,shrinkflation,0.19728605821728706
2023,3,seam,0.054052576733132206
2023,3,cosplayor,0.16963954828679562
2022,1,shrinkflation,0.13820833340287209
2023,1,seam,0.10232649184763432
2023,3,oneunusedis,0.1376145466403555
2021,2,oneunusedis,0.12533459796880683
2022,3,heather,0.11469697020947933
2022,5,macdonald,-0.025977149605751038
2022,1,seam,0.07036156766116619
2022,7,macdonald,0.15378787741065025
2021,5,unhooked,0.11086304532364011
2021,10,unhooked,0.19717079866677523
2022,6,frequency,0.03587502287700772
2022,8,oneunusedis,0.17786196160774964
2023,3,webcams,0.13909720795022118
2022,10,frequency,0.10880596233675113
2022,9,oneunusedis,0.1588766099885106
2022,6,coverfix,0.022083334624767303
2023,1,unhooked,0.16698075277686475
2022,6,oneunusedis,0.12300623601832841
2023,3,cicaplast,0.19824068918824195
2022,5,producst,0.12768239652117094
2022,5,dyer,0.01634848564863205
2021,4,dermatitisallergy,-0.028291246155276895
2022,5,dermatitisallergy,0.12043203201028518
2022,12,shrinkflation,0.12961918264627456
2023,3,wrinklescrepy,0.1652317836880684
2023,2,producst,0.12447700859047472
2023,3,dyer,0.1553127020597458
2022,1,chart,0.12511112292607626
2022,10,cheeklip,0.2031084139432226
2022,9,cheeklip,0.11312295430723358
2023,2,webcams,0.3445858185489972
2022,2,webcams,0.13520298960308233
2021,1,angry,0.27948753039042157
2023,1,dyer,0.1676607606932521
2023,2,heather,0.05221212366595864
2021,5,experts,0.1847124934196472
2022,3,experts,0.14579415942231813
2022,7,unhooked,0.11035839895802466
2023,2,cheeklip,0.20947467489168048
2022,8,experts,0.17500979229807853
2021,1,frequency,0.08610288077034056
2021,5,coverfix,0.16876190900802612
2023,2,coverfix,0.22645555436611176
2022,7,experts,0.12614125683903693
2022,11,chart,0.10035997877518336
2023,2,frequency,0.10261748647638436
2023,1,wrinklescrepy,0.09393303282558918
2021,1,unhooked,0.14128436534493058
2022,11,frequency,0.07355089713301924
2021,5,oneunusedis,0.15074977912008763
2021,3,unhooked,0.14445329311749208
2021,4,experts,0.005282608047127724
2021,3,seam,0.050009784599145256
2021,4,seam,0.10945608134248427
2022,11,heather,0.19116513176621602
2022,2,experts,0.14152867794036866
2023,3,chart,0.11647453733409445
2021,5,frequency,0.06599193678370543
2022,11,cheeklip,0.13692983157104915
2021,5,macdonald,0.14930556217829385
2021,7,heather,0.10958332816759746
2021,2,unhooked,0.16852950741751835
2022,8,seam,0.08191824378445745
2021,7,unhooked,0.15559573329108603
2021,4,oneunusedis,0.20623166750495633
2021,1,dermatitisallergy,0.2947422951459885
2022,11,angry,0.11732751441498597
2021,3,cheeklip,0.1364692937439451
2022,4,unhooked,0.09942624377574594
2022,6,macdonald,0.09759428844699869
2022,11,webcams,0.19296766072511673
2022,4,heather,0.0384503960609436
2022,12,seam,0.13644515676423907
2022,11,producst,0.09722222511967023
2021,9,dermatitisallergy,0.15954605136066674
2023,1,angry,0.06216931622475386
2023,1,webcams,0.07876974225251211
2022,4,oneunusedis,0.0907671555566291
2022,2,heather,0.193958330899477
2021,4,cheeklip,0.1523969938280061
2022,11,shrinkflation,0.11731691472232342
2021,2,wrinklescrepy,0.2543560639023781
2021,1,seam,0.09720561661136647
2021,4,frequency,0.09587628743611276
2022,5,cheeklip,0.19713030072549978
2023,2,dermatitisallergy,0.12568602338433266
2022,12,frequency,0.1909990492858924
2022,10,seam,0.17136687090775618
2022,1,heather,-0.06875000149011612
2021,1,producst,0.14643052672701223
2022,4,shrinkflation,0.1983245232452949
2022,2,seam,0.10564223517264638
2022,12,heather,0.10892628979802664
2022,3,coverfix,0.09107226350655158
2021,1,experts,0.07117882929742336
2022,10,dyer,0.14433531659758753
2022,9,seam,0.06506138276308775
2022,4,cosplayor,0.11448142025619745
2022,11,wrinklescrepy,0.134037382590274
2022,10,coverfix,0.2557281156380971
2021,6,chart,0.28602025657892227
2022,9,chart,0.20667988186081251
2022,12,oneunusedis,0.12718758599034377
2022,7,oneunusedis,0.13192071155644952
