ActualLabel,ActualCount,PredictedCount
Swatches,112,129
Discussion,1048,1088
Review,258,301
Haul,112,146
Meta,29,34
Rule 2 Removal: Photo Editing,198,204
FOTD,4193,4129
PSA,93,111
Question,5128,4776
Organization,66,73
Rule 5 Removal: Product List,119,143
Tutorial,201,285
Halloween,155,219
News,48,49
Rule 4 Removal: Showcase Makeup,50,52
Under Review,7,8
Rule 3 Removal: Before/After,7,7
Rule 7 Removal: Self Promo,44,45
Simple Questions Removal,10,10
AMA,5,6
Mod Post,10,10
Clutter Removal,10,10
Question:snoo_thoughtful:,3,3
Reviewed,5,7
Unboxing ,1,1
Shitpost Saturday Removal,1,1
Makeup Look,1,1
Question 👁,1,11
Progress,6,7
Text Tuesday Removal,7,7
Good News,1,2
Removal: Off-topic,1,1
Question - Dupe,1,5
