year,month,term,count
2021,1,unhooked,27
2021,1,macdonald,14
2021,1,oneunusedis,12
2021,1,frequency,8
2021,1,cheeklip,8
2021,1,producst,7
2021,1,seam,6
2021,1,wrinklescrepy,6
2021,1,envygirl,5
2021,1,dermatitisallergy,5
2021,2,unhooked,26
2021,2,oneunusedis,12
2021,2,frequency,12
2021,2,macdonald,11
2021,2,drenched,7
2021,2,combines,7
2021,2,cheeklip,7
2021,2,successful,7
2021,2,dyer,6
2021,2,nocib,6
2021,3,unhooked,23
2021,3,oneunusedis,20
2021,3,cheeklip,13
2021,3,frequency,10
2021,3,macdonald,8
2021,3,puppies,6
2021,3,paid,5
2021,3,dyer,5
2021,3,settingspray,5
2021,3,experts,5
2021,4,unhooked,37
2021,4,oneunusedis,18
2021,4,frequency,12
2021,4,dyer,9
2021,4,cheeklip,8
2021,4,cicaplast,8
2021,4,seam,7
2021,4,experts,5
2021,4,pornstars,5
2021,4,belong,5
2021,5,unhooked,22
2021,5,oneunusedis,10
2021,5,frequency,7
2021,5,experts,5
2021,5,producst,5
2021,5,wetness,5
2021,5,migraines,4
2021,5,seam,4
2021,5,suffocating,4
2021,5,tee,4
2021,6,unhooked,28
2021,6,oneunusedis,11
2021,6,frequency,8
2021,6,macdonald,7
2021,6,seam,7
2021,6,aos,7
2021,6,cheeklip,6
2021,6,chart,4
2021,6,dregs,4
2021,6,actor,4
2021,7,unhooked,34
2021,7,oneunusedis,15
2021,7,settingspray,7
2021,7,dyer,7
2021,7,frequency,6
2021,7,cicaplast,6
2021,7,actor,5
2021,7,macdonald,5
2021,7,cheeklip,5
2021,7,suffocating,4
2021,8,unhooked,19
2021,8,oneunusedis,14
2021,8,heather,8
2021,8,chart,8
2021,8,frequency,7
2021,8,settingspray,6
2021,8,wrinklescrepy,5
2021,8,dermatitisallergy,5
2021,8,macdonald,5
2021,8,seam,5
2021,9,unhooked,21
2021,9,oneunusedis,18
2021,9,opakes,9
2021,9,macdonald,8
2021,9,producst,8
2021,9,frequency,7
2021,9,storing,6
2021,9,hellaciously,6
2021,9,dermatitisallergy,5
2021,9,cert,5
2021,10,unhooked,24
2021,10,frequency,10
2021,10,dyer,9
2021,10,oneunusedis,9
2021,10,macdonald,7
2021,10,raiding,5
2021,10,cheeklip,5
2021,10,chart,4
2021,10,seam,4
2021,10,cosplayor,4
2021,11,unhooked,21
2021,11,oneunusedis,12
2021,11,frequency,8
2021,11,cheeklip,8
2021,11,producst,6
2021,11,seam,6
2021,11,macdonald,6
2021,11,coverfix,5
2021,11,chart,4
2021,11,eyeface,4
2021,12,unhooked,18
2021,12,frequency,13
2021,12,macdonald,9
2021,12,seam,9
2021,12,oneunusedis,9
2021,12,cheeklip,8
2021,12,dermatitisallergy,5
2021,12,dregs,5
2021,12,puppies,5
2021,12,enters,5
2022,1,unhooked,22
2022,1,frequency,13
2022,1,oneunusedis,12
2022,1,cheeklip,11
2022,1,seam,7
2022,1,underneth,6
2022,1,aos,6
2022,1,macdonald,6
2022,1,puppies,6
2022,1,cosplayor,5
2022,2,unhooked,39
2022,2,oneunusedis,20
2022,2,frequency,8
2022,2,seam,7
2022,2,permanent,6
2022,2,chart,6
2022,2,cheeklip,6
2022,2,experts,5
2022,2,producst,5
2022,2,shrinkflation,5
2022,3,unhooked,42
2022,3,oneunusedis,20
2022,3,cheeklip,14
2022,3,macdonald,11
2022,3,dyer,10
2022,3,healed,8
2022,3,frequency,7
2022,3,dumbest,6
2022,3,experts,6
2022,3,webcams,6
2022,4,unhooked,42
2022,4,oneunusedis,24
2022,4,seam,13
2022,4,frequency,13
2022,4,cheeklip,8
2022,4,angry,6
2022,4,foundationsand,6
2022,4,macdonald,6
2022,4,overwash,6
2022,4,bronzerblushhighlighter,5
