created_year,author,sub_count,avg_score,avg_num_cmnt,creator_score,ranking,posting_karma
2021,ahbagelxo,121,570.25,24.03,116159.577,1,129078
2021,cigarte,17,3911.88,62.06,89684.031,2,177409
2021,urfavdisappointmentf,38,1174.5,32.87,66008.876,3,61350
2021,sadperson123456,66,602.71,25.85,63073.23,4,92361
2021,Veeeeezy,15,3027.47,88.93,61284.914,5,325270
2021,kyrazyme,21,1966.81,49.52,57412.021,6,57773
2021,glowymel,100,293.73,9.26,48020.679,7,99984
2021,waterfromthevalley,62,444.6,18.05,43339.453,8,145266
2021,Theotherdaytho,17,1823.18,54.65,42378.94,9,32888
2021,Dominorepulsa,22,1241.68,69.55,39295.591,10,55993
2022,Ralucamakeup,77,1311.82,35.82,160218.88,1,70930
2022,The_Alchemyst,16,4286.38,119.25,93012.218,2,108994
2022,sadperson123456,73,690.1,34.03,81184.232,3,92361
2022,Butt_Fucking_Smurfs,1,49187.0,15444.0,64631.0,4,119404
2022,ahbagelxo,104,356.64,19.55,62250.654,5,129078
2022,urfavdisappointmentf,24,1668.42,42.0,56407.277,6,61350
2022,cuziluvmakeup,49,625.43,41.41,48221.124,7,16514
2022,Brittgirl23,9,3973.22,144.33,46164.235,8,21458
2022,Sick-Sad-World32,41,588.88,35.34,37102.222,9,18848
2022,chinghiskhan,19,1327.42,38.11,34828.134,10,15556
2023,Faris-Hilton,26,1483.81,54.27,55392.327,1,309183
2023,The_Alchemyst,5,5343.6,124.0,32111.733,2,108994
2023,Evening_Attention_45,2,11127.5,316.0,24529.679,3,14561
2023,Lefty-boomer,8,1982.13,157.75,21076.01,4,8177
2023,zemele,12,1156.58,80.75,19036.404,5,40024
2023,BrandoLeeB,6,2387.17,70.5,17639.649,6,47883
2023,beesarebrown,13,747.69,101.46,14266.653,7,10812
2023,sadperson123456,5,1940.4,83.2,11884.794,8,92361
2023,DisheveledBoy,15,567.8,30.87,11773.02,9,10383
2023,No-Property-6892,1,10585.0,358.0,10943.0,10,9163
