author,sentiment,count
sadperson123456,positive,684
Sick-Sad-World32,negative,85
cuziluvmakeup,positive,776
ahbagelxo,positive,1401
DisheveledBoy,negative,79
DisheveledBoy,positive,610
zemele,positive,910
Sick-Sad-World32,positive,570
Ralucamakeup,positive,541
waterfromthevalley,positive,990
waterfromthevalley,negative,13
DisheveledBoy,neutral,17
zemele,negative,151
zemele,neutral,42
Sick-Sad-World32,neutral,22
ahbagelxo,negative,121
Ralucamakeup,neutral,16
Dominorepulsa,neutral,68
Dominorepulsa,positive,874
Dominorepulsa,negative,94
sadperson123456,negative,57
ahbagelxo,neutral,52
Ralucamakeup,negative,36
cuziluvmakeup,neutral,12
sadperson123456,neutral,12
cuziluvmakeup,negative,43
waterfromthevalley,neutral,6
Veeeeezy,positive,486
Veeeeezy,neutral,9
Veeeeezy,negative,44
