,year,month,term,avg_sentiment,date
0,2023,3,town,0.10000000102445483,2023-03
1,2022,9,aloe,0.13768939673900604,2022-09
2,2023,1,hairbrush,0.12619048357009888,2023-01
3,2023,3,zippered,0.16833333174387613,2023-03
4,2023,2,ideally,0.014791666530072689,2023-02
5,2023,2,paypal,0.1251995898783207,2023-02
6,2023,3,closeset,0.09583333134651184,2023-03
7,2022,5,hairy,0.040277778171002865,2022-05
8,2023,3,spread,0.10000000149011612,2023-03
9,2023,3,maine,-0.0071428571827709675,2023-03
10,2023,3,careful,0.1599999964237213,2023-03
11,2022,4,careful,0.06574074178934097,2022-04
12,2022,11,iredale,0.0,2022-11
13,2022,11,hairbrush,0.0,2022-11
14,2023,2,saying,0.14041666686534882,2023-02
15,2022,5,hairbrush,-0.125,2022-05
16,2021,4,stained,0.02510351873934269,2021-04
17,2021,3,town,0.06211111135780811,2021-03
18,2022,7,dentist,0.11948052048683167,2022-07
19,2022,11,spread,0.2068749964237213,2022-11
20,2021,5,closeset,0.23541666567325592,2021-05
21,2021,1,ideally,0.23543955385684967,2021-01
22,2021,1,stained,0.08190476335585117,2021-01
23,2023,1,stained,0.20000000298023224,2023-01
24,2022,2,stained,0.14246232559283575,2022-02
25,2023,3,hairy,0.09768229094333947,2023-03
26,2022,1,spread,0.23999999463558197,2022-01
27,2021,9,dabbling,0.08510333113372326,2021-09
28,2022,9,small,0.232051283121109,2022-09
29,2022,3,small,0.05993589945137501,2022-03
30,2022,12,stained,0.06471956521272659,2022-12
31,2022,12,dentist,0.07500000298023224,2022-12
32,2021,7,hairy,0.11714285612106323,2021-07
33,2021,5,town,-0.07857143133878708,2021-05
34,2022,2,dabbling,0.07341670989990234,2022-02
35,2021,3,hairy,0.045401494950056076,2021-03
36,2022,2,small,0.34166666865348816,2022-02
37,2021,5,maine,0.11851851642131805,2021-05
38,2021,2,ideally,-0.4611110985279083,2021-02
39,2022,1,iredale,-0.0833333358168602,2022-01
40,2021,10,hairy,-0.07333333045244217,2021-10
41,2022,10,hairy,0.023333333432674408,2022-10
42,2022,8,seduction,0.05638774111866951,2022-08
43,2022,11,findings,0.09583333134651184,2022-11
44,2021,2,zippered,0.36666667461395264,2021-02
45,2022,5,seduction,0.009245350956916809,2022-05
46,2021,4,spread,0.1358843594789505,2021-04
47,2022,2,loooove,0.2666666805744171,2022-02
48,2022,4,paypal,0.37580952048301697,2022-04
49,2021,12,hairy,0.10723505821079016,2021-12
50,2022,9,town,-0.028401359915733337,2022-09
51,2021,6,seduction,0.16572339832782745,2021-06
52,2021,1,paypal,0.21666666865348816,2021-01
53,2022,3,ideally,0.1912499964237213,2022-03
54,2021,1,closeset,0.21666666865348816,2021-01
55,2022,3,town,0.08258333429694176,2022-03
56,2021,4,seduction,0.03333333507180214,2021-04
57,2021,2,stained,0.05197368562221527,2021-02
58,2023,1,closeset,0.06527777761220932,2023-01
59,2021,8,iredale,0.15909090638160706,2021-08
60,2022,5,findings,0.20000000298023224,2022-05
61,2021,1,maine,0.0776190459728241,2021-01
62,2022,4,closeset,0.09107142686843872,2022-04
63,2021,1,findings,-0.029393939301371574,2021-01
64,2021,7,stained,0.16176250576972961,2021-07
65,2021,8,seduction,0.26286548376083374,2021-08
66,2022,2,seduction,0.23999999463558197,2022-02
67,2022,9,careful,0.05138888955116272,2022-09
68,2022,4,findings,0.17205514013767242,2022-04
69,2023,1,dabbling,0.06111111119389534,2023-01
70,2021,5,loooove,0.6333333253860474,2021-05
71,2023,3,dabbling,0.1111776332060496,2023-03
72,2023,2,hairy,0.07120000012218952,2023-02
73,2023,2,loooove,0.0,2023-02
74,2022,10,maine,0.1088888868689537,2022-10
75,2021,9,ideally,0.24379509687423706,2021-09
76,2022,6,hairy,0.02190476283431053,2022-06
